,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
6997,6941.99560546875,1647375112.601473,0.0014587262412533164,1647375112.6015217,0.0013283333973959088,1647375112.6015499,34.099998474121094,1647375112.601574,-1.2301230430603027,1647375112.6015959,4368.0,1647375112.601619,,,,,,
7130,7248.11669921875,1647375112.633531,0.008603726513683796,1647375112.6335914,0.0005082422867417336,1647375112.633621,34.22999954223633,1647375112.6336539,-1.3111026287078857,1647375112.6337006,4364.0,1647375112.6337497,,,,,,
7227,6584.05615234375,1647375112.6574905,0.00875173695385456,1647375112.6575484,0.0004360568127594888,1647375112.6575775,33.459999084472656,1647375112.657601,-1.3043839931488037,1647375112.6576233,4359.0,1647375112.6576471,,,,,,
7367,6580.693359375,1647375112.6904874,0.0006984647479839623,1647375112.6905377,0.0002177683636546135,1647375112.6905663,33.599998474121094,1647375112.6905906,-1.3050881624221802,1647375112.6906137,4357.0,1647375112.6906376,,,,,,
7501,9064.5615234375,1647375112.7186186,0.007610093802213669,1647375112.7186677,0.0032906332053244114,1647375112.718697,33.900001525878906,1647375112.7187214,-0.22032494843006134,1647375112.7187438,4364.0,1647375112.7187674,,,,,,
7639,7601.96484375,1647375112.7487044,0.0007099654758349061,1647375112.748756,0.008691075257956982,1647375112.7487872,31.760000228881836,1647375112.7488146,-0.3302250802516937,1647375112.7488403,4368.0,1647375112.7488666,,,,,,
7805,5587.76953125,1647375112.7880957,0.00837769079953432,1647375112.7881496,0.0020544365979731083,1647375112.7882028,32.29999923706055,1647375112.7882543,-0.33228033781051636,1647375112.788288,4364.0,1647375112.7883139,,,,,,
7927,8027.0224609375,1647375112.8174126,0.0013892985880374908,1647375112.8174644,0.00031113156001083553,1647375112.8175085,32.41999816894531,1647375112.8175573,-0.3325583040714264,1647375112.8175952,4361.0,1647375112.817621,,,,,,
8060,7082.25,1647375112.8496506,0.0017436210764572024,1647375112.849706,0.001529061235487461,1647375112.8497577,32.41999816894531,1647375112.8498058,-0.3217686414718628,1647375112.849834,4357.0,1647375112.849859,,,,,,
8262,4189.52685546875,1647375112.8964803,0.009416688233613968,1647375112.896532,0.002357873832806945,1647375112.8965611,33.18000030517578,1647375112.896585,-0.34476131200790405,1647375112.8966076,4356.0,1647375112.896638,,,,,,
