,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
7305,6678.6728515625,1647275192.8902667,0.004091884475201368,1647275192.8903198,0.008014043793082237,1647275192.8903506,35.34000015258789,1647275192.890376,-0.060559071600437164,1647275192.8904002,4191.0,1647275192.8904345,,,,,,
7411,9641.439453125,1647275192.9128914,0.00231705280020833,1647275192.912961,0.004417323041707277,1647275192.912995,35.220001220703125,1647275192.913022,-0.0604671984910965,1647275192.9130468,4197.0,1647275192.9130723,,,,,,
7525,4424.53857421875,1647275192.9372864,0.000448988052085042,1647275192.9373422,0.0009054753463715315,1647275192.93738,34.68000030517578,1647275192.937406,-0.05896896868944168,1647275192.93743,4204.0,1647275192.9374557,,,,,,
7645,9084.19140625,1647275192.9629312,0.008254041895270348,1647275192.9629881,0.004251387901604176,1647275192.9630203,34.59000015258789,1647275192.9630466,-0.05811681970953941,1647275192.9630706,4210.0,1647275192.9630966,,,,,,
7768,5924.09228515625,1647275192.9891353,0.006009743548929691,1647275192.989194,0.00218255165964365,1647275192.9892266,34.83000183105469,1647275192.9892519,-0.058714400976896286,1647275192.989276,4217.0,1647275192.989301,,,,,,
7856,8162.4365234375,1647275193.008797,0.00751497782766819,1647275193.0088525,0.00038888779818080366,1647275193.008884,34.52000045776367,1647275193.0089223,-0.05824492126703262,1647275193.0089493,4220.0,1647275193.008976,,,,,,
7979,8173.75390625,1647275193.037178,0.004183782264590263,1647275193.0372367,4.02125260734465e-05,1647275193.0372689,34.40999984741211,1647275193.037295,-0.05806040018796921,1647275193.0373192,4222.0,1647275193.0373445,,,,,,
8123,4710.68310546875,1647275193.0701072,0.008021770976483822,1647275193.0701654,0.0008205963531509042,1647275193.0701973,34.59000015258789,1647275193.0702233,-0.05867746099829674,1647275193.0702631,4224.0,1647275193.0703187,,,,,,
8251,9039.8505859375,1647275193.1017218,0.003010174259543419,1647275193.1017992,0.00019189405429642648,1647275193.1018608,34.70000076293945,1647275193.1019204,-0.05846767872571945,1647275193.101978,4222.0,1647275193.1020172,,,,,,
8434,9409.8857421875,1647275193.1431596,0.005511067342013121,1647275193.1432416,0.0026376796886324883,1647275193.1433015,35.130001068115234,1647275193.143358,-0.06015802174806595,1647275193.143402,4226.0,1647275193.143432,,,,,,
8564,5462.39306640625,1647275193.171708,0.003105883253738284,1647275193.171761,0.002097675809636712,1647275193.1717923,35.22999954223633,1647275193.1718187,-0.06088981032371521,1647275193.1718435,4230.0,1647275193.171869,,,,,,
8697,4813.392578125,1647275193.2027185,0.009620842523872852,1647275193.2027726,0.0014860860537737608,1647275193.2028039,35.22999954223633,1647275193.20283,-0.06094751134514809,1647275193.2028537,4231.0,1647275193.2028806,,,,,,
8858,5998.63671875,1647275193.239506,0.0005208792863413692,1647275193.2395601,0.007973129861056805,1647275193.2395916,34.130001068115234,1647275193.2396173,-0.05733523890376091,1647275193.2396417,4234.0,1647275193.239667,,,,,,
8960,7345.9345703125,1647275193.2637424,0.002699177013710141,1647275193.263794,0.0017219665460288525,1647275193.2638247,33.40999984741211,1647275193.2638502,-0.05518624931573868,1647275193.2638807,4233.0,1647275193.2639084,,,,,,
