# Time, Reward, Motor1Pos, Motor1Vel, Motor2Pos, Motor2Vel
9.300000000000000000e+01,2.982087457358211791e-01,-3.982350261305337424e-01,-3.343033319140402693e+00,5.235524434223414181e-01,1.235524692198453067e-03
9.400000000000000000e+01,2.986931494994550240e-01,-3.742367489156117055e-01,5.759586531581286195e+00,5.235570766399371134e-01,1.111972222977538477e-03
9.500000000000000000e+01,2.979430798449711482e-01,-3.891131815031459995e-01,-3.570343821008228780e+00,5.235612465357732948e-01,1.000775000675760418e-03
9.600000000000000000e+01,2.986312901494382888e-01,-4.025617409126612811e-01,-3.227654258283667588e+00,5.235649994420258357e-01,9.006975006124948169e-04
9.700000000000000000e+01,2.991266910369433929e-01,-3.785634636977392442e-01,5.759586531581287083e+00,5.235683770576531337e-01,8.106277505515145643e-04
9.800000000000000000e+01,2.984202450054543321e-01,-3.930097222416768510e-01,-3.467102050545029179e+00,5.235714169117177130e-01,7.295649754950339627e-04
9.900000000000000000e+01,2.989858544042026667e-01,-3.690114450267548141e-01,5.759586531581287083e+00,5.235741527803757789e-01,6.566084779464562149e-04
1.000000000000000000e+02,2.983076002089879442e-01,-3.844075648616190333e-01,-3.695068760367406391e+00,5.235766150621680159e-01,5.909476301411559218e-04
1.010000000000000000e+02,2.989980642298983304e-01,-3.983266859352870282e-01,-3.340589057680315221e+00,5.235788311157810737e-01,5.318528671391931084e-04
1.020000000000000000e+02,2.995000645210667001e-01,-3.743284087203649912e-01,5.759586531581286195e+00,5.235808255640328479e-01,4.786675804258032352e-04
1.030000000000000000e+02,2.988056768459868562e-01,-3.891959495087899401e-01,-3.568209789221982398e+00,5.235826205674594114e-01,4.308008223826015337e-04
1.040000000000000000e+02,2.994229267630681979e-01,-4.026362321177407999e-01,-3.225667826148213013e+00,5.235842360705433851e-01,3.877207401456958524e-04
1.050000000000000000e+02,2.998589048431898885e-01,-3.786379549028187630e-01,5.759586531581286195e+00,5.235856900233188949e-01,3.489486661303331516e-04
1.060000000000000000e+02,2.991373569921528253e-01,-3.930769669820406986e-01,-3.465362899013258335e+00,5.235869985808168092e-01,3.140537995059700105e-04
1.070000000000000000e+02,2.997706747513838588e-01,-3.690786897671186617e-01,5.759586531581287083e+00,5.235881762825650432e-01,2.826484195681475131e-04
1.080000000000000000e+02,2.992035392508418656e-01,-3.844682579814163170e-01,-3.693496371431437275e+00,5.235892362141384426e-01,2.543835776090408451e-04
1.090000000000000000e+02,2.998245647869625108e-01,-3.983813097431045946e-01,-3.339132422805180855e+00,5.235901901525544799e-01,2.289452198498131974e-04
1.100000000000000000e+02,3.002927018327357089e-01,-3.743830325281825577e-01,5.759586531581286195e+00,5.235910486971289135e-01,2.060506978640540277e-04
1.110000000000000000e+02,2.996126428625327520e-01,-3.892452361055797616e-01,-3.566928858575328043e+00,5.235918213872458038e-01,1.854456280662858392e-04
1.120000000000000000e+02,3.002441678989840046e-01,-4.026805900548516837e-01,-3.224484947825257741e+00,5.235925168083510606e-01,1.669010652722846544e-04
1.130000000000000000e+02,3.007097848473930801e-01,-3.786823128399296468e-01,5.759586531581287083e+00,5.235931426873458028e-01,1.502109587461220030e-04
1.140000000000000000e+02,3.000651219094400135e-01,-3.931169785324076238e-01,-3.464319766194715378e+00,5.235937059784411263e-01,1.351898628707132177e-04
1.150000000000000000e+02,3.006216963431366795e-01,-3.691187013174855869e-01,5.759586531581287083e+00,5.235942129404268508e-01,1.216708765845314622e-04
1.160000000000000000e+02,3.000275268212096447e-01,-3.845043518232492685e-01,-3.692556121383277379e+00,5.235946692062140029e-01,1.095037889203981374e-04
1.170000000000000000e+02,3.006205251997666750e-01,-3.984137942007542343e-01,-3.338266170601189575e+00,5.235950798454225286e-01,9.855341003552064993e-05
1.180000000000000000e+02,3.010988142038059090e-01,-3.744155169858321974e-01,5.759586531581286195e+00,5.235954494207101240e-01,8.869806903089028083e-05
1.190000000000000000e+02,3.004804339769742705e-01,-3.892745376825736958e-01,-3.566164967217956949e+00,5.235957820384690153e-01,7.982826212366012086e-05
1.200000000000000000e+02,3.010519339775479808e-01,-4.027069614741461967e-01,-3.223781709977403320e+00,5.235960813944520176e-01,7.184543591519376715e-05
1.210000000000000000e+02,3.015216567906016665e-01,-3.787086842592241598e-01,5.759586531581287083e+00,5.235963508148366863e-01,6.466089232315397339e-05
1.220000000000000000e+02,3.009383452105724999e-01,-3.931407545330240505e-01,-3.463696865711969330e+00,5.235965932931828659e-01,5.819480308963398407e-05
1.230000000000000000e+02,3.014595168629664035e-01,-3.691424773181020136e-01,5.759586531581286195e+00,5.235968115236944165e-01,5.237532278279388720e-05
1.240000000000000000e+02,3.008887463973406451e-01,-3.845257919470553842e-01,-3.691995510948804515e+00,5.235970079311548231e-01,4.713779050423416717e-05
1.250000000000000000e+02,3.014219653427375745e-01,-3.984330903121797163e-01,-3.337751607629842354e+00,5.235971846978692001e-01,4.242401145598817536e-05
1.260000000000000000e+02,3.018844999314131972e-01,-3.744348130972576794e-01,5.759586531581287083e+00,5.235973437879121173e-01,3.818161031077238476e-05
1.270000000000000000e+02,3.013103206583854776e-01,-3.892919280247145175e-01,-3.565707582589644709e+00,5.235974869689508093e-01,3.436344928033074897e-05
1.280000000000000000e+02,3.018130475785942290e-01,-4.027226082786548034e-01,-3.223363260945669939e+00,5.235976158318855767e-01,3.092710435222134624e-05
1.290000000000000000e+02,3.022950676571508621e-01,-3.787243310637327665e-01,5.759586531581287083e+00,5.235977318085268672e-01,2.783439391773959160e-05
1.300000000000000000e+02,3.017872237366392429e-01,-3.931548604989397178e-01,-3.463327064449662096e+00,5.235978361875039955e-01,2.505095451550698460e-05
1.310000000000000000e+02,3.022125485385204202e-01,-3.691565832840176808e-01,5.759586531581287083e+00,5.235979301285834664e-01,2.254585907568440462e-05
1.320000000000000000e+02,3.016107449836348264e-01,-3.845385051977728841e-01,-3.691661259301251441e+00,5.235980146755550013e-01,2.029127316806322856e-05
1.330000000000000000e+02,3.020878853532824593e-01,-3.984445322378254994e-01,-3.337446489612623246e+00,5.235980907678293717e-01,1.826214585155805370e-05
1.340000000000000000e+02,3.025592427117846928e-01,-3.744462550229034625e-01,5.759586531581286195e+00,5.235981592508762716e-01,1.643593126665621185e-05
1.350000000000000000e+02,3.020598200504414632e-01,-3.893022376787246830e-01,-3.565435837397093799e+00,5.235982208856184705e-01,1.479233813941882580e-05
1.360000000000000000e+02,3.024555982572624813e-01,-4.027318869672639745e-01,-3.223115829249425524e+00,5.235982763568864939e-01,1.331310432828303192e-05
1.370000000000000000e+02,3.029067503196888889e-01,-3.787336097523419376e-01,5.759586531581287083e+00,5.235983262810277594e-01,1.198179389572118225e-05
1.380000000000000000e+02,3.024343704684697709e-01,-3.931632232396168880e-01,-3.463107236945991652e+00,5.235983712127548761e-01,1.078361450534970345e-05
1.390000000000000000e+02,3.028078123211972450e-01,-3.691649460246948511e-01,5.759586531581287083e+00,5.235984116513092701e-01,9.705253054548279579e-06
1.400000000000000000e+02,3.022216614008199631e-01,-3.845460435853113035e-01,-3.691463414547949462e+00,5.235984480460081913e-01,8.734727747733428416e-06
1.410000000000000000e+02,3.025836701349347013e-01,-3.984513167866100547e-01,-3.337265568311700292e+00,5.235984808012372760e-01,7.861254975538578549e-06
1.420000000000000000e+02,3.030506729593408499e-01,-3.744530395716880178e-01,5.759586531581287083e+00,5.235985102809433966e-01,7.075129476955682728e-06
1.430000000000000000e+02,3.026153342255015755e-01,-3.893083497330952492e-01,-3.565274438737739082e+00,5.235985368126789830e-01,6.367616530056352531e-06
1.440000000000000000e+02,3.030295967051638284e-01,-4.027373878161974452e-01,-3.222969139944532824e+00,5.235985606912409995e-01,5.730854875984903174e-06
1.450000000000000000e+02,3.033564015487238974e-01,-3.787391106012754083e-01,5.759586531581286195e+00,5.235985821819467700e-01,5.157769387587052279e-06
1.460000000000000000e+02,3.028253627648649360e-01,-3.931681799641215114e-01,-3.462976647083062964e+00,5.235986015235819524e-01,4.641992449080922789e-06
1.470000000000000000e+02,3.031137362849712358e-01,-3.691699027491994745e-01,5.759586531581287083e+00,5.235986189310536387e-01,4.177793204718227571e-06
1.480000000000000000e+02,3.025090405905596080e-01,-3.845505105978299643e-01,-3.691345883671313111e+00,5.235986345977781120e-01,3.760013882844748245e-06
1.490000000000000000e+02,3.028487920538683875e-01,-3.984553370978768383e-01,-3.337158360011251990e+00,5.235986486978301269e-01,3.384012496887578436e-06
1.500000000000000000e+02,3.033233073327906704e-01,-3.744570598829548014e-01,5.759586531581287083e+00,5.235986613878770290e-01,3.045611248531088222e-06
1.510000000000000000e+02,3.029618001745091327e-01,-3.893119739736998208e-01,-3.565179381778810885e+00,5.235986728089192521e-01,2.741050122878618822e-06
1.520000000000000000e+02,3.034231392561863583e-01,-4.027406496327415875e-01,-3.222882158170022215e+00,5.235986830878571752e-01,2.466945109538820624e-06
1.530000000000000000e+02,3.038189280962256822e-01,-3.787423724178195505e-01,5.759586531581287083e+00,5.235986923389013281e-01,2.220250599371809130e-06
1.540000000000000000e+02,3.034226553207004518e-01,-3.931711155990112450e-01,-3.462898363486002218e+00,5.235987006648410436e-01,1.998225539701081743e-06
1.550000000000000000e+02,3.038196457421685759e-01,-3.691728383840892080e-01,5.759586531581287083e+00,5.235987081581868763e-01,1.798402986544211934e-06
1.560000000000000000e+02,3.033904220566744359e-01,-3.845531526692306801e-01,-3.691275428433958616e+00,5.235987149021981146e-01,1.618562686531155315e-06
1.570000000000000000e+02,3.037929217885130262e-01,-3.984577149621374992e-01,-3.337094950297635698e+00,5.235987209718081514e-01,1.456706416824715689e-06
1.580000000000000000e+02,3.041420678926327059e-01,-3.744594377472154623e-01,5.759586531581287083e+00,5.235987264344572623e-01,1.311035775941604697e-06
1.590000000000000000e+02,3.037178879020054345e-01,-3.893141140515344323e-01,-3.565122313036556356e+00,5.235987313508414509e-01,1.179932197281630124e-06
1.600000000000000000e+02,3.040918677660688907e-01,-4.027425757027927600e-01,-3.222830796301992873e+00,5.235987357755871319e-01,1.061938976754106534e-06
1.610000000000000000e+02,3.044211600489157843e-01,-3.787442984878707231e-01,5.759586531581287083e+00,5.235987397578583113e-01,9.557450804144329570e-07
1.620000000000000000e+02,3.040202951952851729e-01,-3.931728550225217500e-01,-3.462853568316249131e+00,5.235987433419023729e-01,8.601705720895358454e-07
1.630000000000000000e+02,3.043886039769478913e-01,-3.691745778075997131e-01,5.759586531581286195e+00,5.235987465675420172e-01,7.741535146266187439e-07
1.640000000000000000e+02,3.039936089518707751e-01,-3.845547113776504600e-01,-3.691232056812181916e+00,5.235987494706176859e-01,6.967381631639568695e-07
1.650000000000000000e+02,3.044054825276869547e-01,-3.984591296992235909e-01,-3.337060397177551430e+00,5.235987520833857989e-01,6.270643471140147085e-07
1.660000000000000000e+02,3.047850465618964222e-01,-3.744608524843015540e-01,5.759586531581286195e+00,5.235987544348771339e-01,5.643579124060826846e-07
1.670000000000000000e+02,3.044535782454342865e-01,-3.893153831176373036e-01,-3.565087352000586129e+00,5.235987565512193465e-01,5.079221203768691240e-07
1.680000000000000000e+02,3.048961045871761422e-01,-4.027437270081827836e-01,-3.222802533730912078e+00,5.235987584559272934e-01,4.571299072608780989e-07
1.690000000000000000e+02,3.053149813490645403e-01,-3.787454597546157098e-01,5.759584140856103929e+00,5.235987601701644900e-01,4.114169165347902890e-07
1.700000000000000000e+02,3.050654234938475762e-01,-3.931738863576439980e-01,-3.462822384726787384e+00,5.235987617129779226e-01,3.702752238154971565e-07
1.710000000000000000e+02,3.055614935704663582e-01,-3.691756186591202971e-01,5.759584247645687327e+00,5.235987631015099897e-01,3.332477014339474408e-07
1.720000000000000000e+02,3.053569870621086757e-01,-3.845556485723569118e-01,-3.691207179176783093e+00,5.235987643511889056e-01,2.999229318234597486e-07
1.730000000000000000e+02,3.059350673448737457e-01,-3.984599725187947250e-01,-3.337037747145079170e+00,5.235987654758998966e-01,2.699306378417531960e-07
1.740000000000000000e+02,3.065020654172285197e-01,-3.744617039319843577e-01,5.759584460834488162e+00,5.235987664881397441e-01,2.429375740610473233e-07
