,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel
19,0.19,0.0023268966686603564,-10.0,0.0023268966686603564,0.8872984642190984,0.007999955368041994,0.19999888420104983,0.19,0.014363316127393885,5.440149307250977,0.014363316127393885,-0.3753749963752125,0.00019536800384521513,0.019536800384521512,0.19,0.02156136728882758,0.0,0.02156136728882758,-0.20141973648030703,0.0,-0.16739131927490244,0.19,0.026376951520637876,4.779605865478516,0.026376951520637876,-0.15539304568846957,0.0,-0.35005686759948734,0.19,0.022377288049358852,9.590484619140623,0.022377288049358852,-0.1592017933747567,0.0,-0.3040951538085937
20,0.2,0.01107032443479022,-10.0,0.01107032443479022,0.8743427766129862,0.008,0.09999888420104984,0.2,0.008777123039702878,10.0,0.008777123039702878,-0.5586193087691005,0.0013907360076904304,0.11953680038452152,0.2,0.017714726800085626,10.0,0.017714726800085626,-0.38466404887419503,0.0,-0.06739131927490244,0.2,0.023157344435834684,8.041366577148438,0.023157344435834684,-0.3219607084803192,0.0,-0.26964320182800294,0.2,0.01895443231456367,9.981145858764648,0.01895443231456367,-0.34228557347951855,0.0,-0.20428369522094725
21,0.21,0.01968419532485896,-10.0,0.01968419532485896,0.8613870890068742,0.007999988842010499,-1.1157989501520138e-06,0.21,0.0013584868280729946,10.0,0.0013584868280729946,-0.7418636211629884,0.0035861040115356454,0.21953680038452153,0.21,0.012035643187404799,10.0,0.012035643187404799,-0.567908361268083,0.00032608680725097565,0.032608680725097566,0.21,0.018251399072583253,8.284032821655273,0.018251399072583253,-0.4905945363251429,0.0,-0.1868028736114502,0.21,0.013728605462674352,9.653858184814451,0.013728605462674352,-0.5225826851889319,0.0,-0.1077451133728027
22,0.22,0.02816850933886658,-10.0,0.02816850933886658,0.8484314014007621,0.006999977684020997,-0.10000111579895016,0.22,-0.00789259250749577,10.0,-0.00789259250749577,-0.9251079335568765,0.006781472015380862,0.31953680038452154,0.22,0.00452411645078509,10.0,0.00452411645078509,-0.7511526736619709,0.0016521736145019511,0.13260868072509757,0.22,0.011527800992777743,9.826290130615234,0.011527800992777743,-0.6723598079805512,0.0,-0.08853997230529785,0.22,0.0066724697461720975,9.974933624267578,0.0066724697461720975,-0.7056135716502254,0.0,-0.007995777130126919
23,0.23,0.03652326647681308,-10.0,0.03652326647681308,0.8354757137946499,0.004999966526031496,-0.20000111579895016,0.23,-0.015469011832739066,10.0,-0.015469011832739066,0.0,0.008,0.4195368003845216,0.23,-0.004819853409773499,10.0,-0.004819853409773499,-0.9343969860558589,0.003978260421752927,0.2326086807250976,0.23,0.0029717599514332404,9.999998092651367,0.0029717599514332404,-0.8556041041344502,0.00011460008621215808,0.011460008621215809,0.23,-0.002216109094269037,10.0,-0.002216109094269037,-0.8888578840441133,0.000920042228698731,0.09200422286987309
24,0.24,0.044748466738698464,-10.0,0.044748466738698464,0.8225200261885379,0.0019999553680419943,-0.30000111579895017,0.24,-0.009725206489554258,0.0,-0.009725206489554258,0.5743805343184809,0.008,0.4195368003845216,0.24,-0.013018390807551218,10.0,-0.013018390807551218,0.0,0.007304347229003903,0.3326086807250976,0.24,-0.007416724213850142,10.0,-0.007416724213850142,-1.0388484165283383,0.0012292001724243163,0.1114600086212158,0.24,-0.011712000424427327,10.0,-0.011712000424427327,0.0,0.002840084457397462,0.1920042228698731
25,0.25,0.052844110124522725,-10.0,0.052844110124522725,0.8095643385824257,0.0,-0.4000011157989501,0.25,6.968513898193869e-05,-10.0,6.968513898193869e-05,0.9794891628536195,0.008,0.3195368003845216,0.25,-0.007082020353685016,10.0,-0.007082020353685016,0.5936370453866202,0.008,0.4326086807250976,0.25,-0.016840909034027622,10.0,-0.016840909034027622,0.0,0.0033438002586364747,0.21146000862121583,0.25,-0.007219951959349061,10.0,-0.007219951959349061,0.44920484650782655,0.005760126686096193,0.2920042228698731
26,0.26,0.05995875351034698,0.0,0.05995875351034698,0.7114643385824259,0.0,-0.4000011157989501,0.26,0.009735019891457017,-10.0,0.009735019891457017,0.9665334752475075,0.008,0.2195368003845216,0.26,0.0028864922123872957,-10.0,0.0028864922123872957,0.9968512566072311,0.008,0.33260868072509764,0.26,-0.012510260782126616,10.0,-0.012510260782126616,0.4330648251901008,0.006458400344848633,0.3114600086212158,0.26,0.0010269531492722904,-10.0,0.0010269531492722904,0.8246905108621351,0.007680168914794925,0.1920042228698731
27,0.27,0.06609239689617125,0.0,0.06609239689617125,0.6133643385824259,0.0,-0.4000011157989501,0.27,0.019270797767870967,-10.0,0.019270797767870967,0.9535777876413953,0.008,0.11953680038452157,0.27,0.012725447902398487,-10.0,0.012725447902398487,0.9838955690011187,0.008,0.23260868072509763,0.27,-0.003765320815764028,-10.0,-0.003765320815764028,0.8744939966362587,0.008,0.2114600086212158,0.27,0.009144301381832521,-10.0,0.009144301381832521,0.8117348232560231,0.008,0.09200422286987309
28,0.28,0.0712450402819955,0.0,0.0712450402819955,0.5152643385824259,0.0,-0.4000011157989501,0.28,0.0286770187682238,-10.0,0.0286770187682238,0.9406221000352832,0.008,0.01953680038452157,0.28,0.022434846716348555,-10.0,0.022434846716348555,0.9709398813950068,0.008,0.13260868072509763,0.28,0.006158551474519238,-10.0,0.006158551474519238,0.9923872290283265,0.008,0.1114600086212158,0.28,0.017132092738331633,-10.0,0.017132092738331633,0.798779135649911,0.007920042228698729,-0.007995777130126919
29,0.29,0.07541668366781977,0.0,0.07541668366781977,0.4171643385824259,0.0,-0.4000011157989501,0.29,0.03795368289251552,-10.0,0.03795368289251552,0.9276664124291712,0.007195368003845216,-0.08046319961547843,0.29,0.032014688654237504,-10.0,0.032014688654237504,0.9579841937888948,0.008,0.03260868072509762,0.29,0.015952866888741382,-10.0,0.015952866888741382,0.9794315414222144,0.008,0.011460008621215795,0.29,0.02499032721876962,-10.0,0.02499032721876962,0.7858234480437987,0.006840084457397462,-0.10799577713012692
30,0.3,0.07860732705364401,0.0,0.07860732705364401,0.3190643385824259,0.0,-0.4000011157989501,0.3,0.047100790140746106,-10.0,0.047100790140746106,0.9147107248230592,0.005390736007690431,-0.18046319961547844,0.3,0.04146497371606533,-10.0,0.04146497371606533,0.9450285061827826,0.007326086807250976,-0.06739131927490238,0.3,0.025617625426902407,-10.0,0.025617625426902407,0.9664758538161023,0.007114600086212158,-0.08853999137878421,0.3,0.03271900482314649,-10.0,0.03271900482314649,0.7728677604376869,0.004760126686096192,-0.20799577713012687
